Exhibitor Name,Website URL,Booth Location,Contact Info,Detail Page URL
AG-MEISHAN FASTENING,http://www.solarpowerinternational.com/,,"www.appaglobal.com/
									 
									4083321111 | Company Information 1090 S Milpitas Blvd STE 170   Milpitas CA 95035 United States of America  
										www.appaglobal.com/
									 
									4083321111 | www.appaglobal.com/
									 
									4083321111 | 1090 S Milpitas Blvd STE 170   Milpitas CA 95035 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8800618
AHZ Consulting Engineers Inc,http://www.solarpowerinternational.com/,,"ahzengineers.com/
									 
									9494661544 | Company Information 111 Rodeo   Irvine CA 92602 United States of America  
										ahzengineers.com/
									 
									9494661544 | ahzengineers.com/
									 
									9494661544 | 111 Rodeo   Irvine CA 92602 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=9482877
Ai Pro,http://www.solarpowerinternational.com/,,"7029310479 | Company Information 3380 W Hacienda Ave   Las Vegas, Nevada NV 89138 United States of America  
									7029310479 | 7029310479 | 3380 W Hacienda Ave   Las Vegas, Nevada NV 89138 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386471
Aim Dynamics,http://www.solarpowerinternational.com/,,"aimdynamics.com
									 
									3037726100 | Company Information 451 21st Ave Suite D  Longmont CO 80501 United States of America  
										aimdynamics.com
									 
									3037726100 | aimdynamics.com
									 
									3037726100 | 451 21st Ave Suite D  Longmont CO 80501 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=9483159
Aim High Manufacturing LLC,http://www.solarpowerinternational.com/,,Company Information 3020 Ocean Port Dr   Las Vegas NV 89117 United States of America | 3020 Ocean Port Dr   Las Vegas NV 89117 United States of America,https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386247
"AIOT ENERGY CO.,LTD.",http://www.solarpowerinternational.com/,,"aioties.en.made-in-china.com
									 
									86-0510-88530666
								 
									86-0510-88530666 | Company Information Room 703-1, No. 18, Zhihui Road, Huishan Economic Development Zone, Wuxi, Jiangsu, China   Wuxi  214100 China  
										aioties.en.made-in-china.com
									 
									86-0510-88530666
								 
									86-0510-88530666 | aioties.en.made-in-china.com
									 
									86-0510-88530666
								 
									86-0510-88530666 | Room 703-1, No. 18, Zhihui Road, Huishan Economic Development Zone, Wuxi, Jiangsu, China   Wuxi  214100 China",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386049
AK Solar Products,http://www.solarpowerinternational.com/,,"www.akstamping.com/solar
									 
									(908) 232-7300
								 
									908 232-5202 | Company Information 1159 US Route 22 East   Mountainside New Jersey 07092 United States of America  
										www.akstamping.com/solar
									 
									(908) 232-7300
								 
									908 232-5202 | www.akstamping.com/solar
									 
									(908) 232-7300
								 
									908 232-5202 | 1159 US Route 22 East   Mountainside New Jersey 07092 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=3591
Alfa Solar,http://www.solarpowerinternational.com/,,"+90 312 870 07 00
								 
									+90 312 229 78 71 | Company Information Alfa Solar   ANKARA  00 Turkey  
									+90 312 870 07 00
								 
									+90 312 229 78 71 | +90 312 870 07 00
								 
									+90 312 229 78 71 | Alfa Solar   ANKARA  00 Turkey",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386330
Align Solar Protection,http://www.solarpowerinternational.com/,,"alignsolarprotection.com/home
									 
									3854465280 | Company Information 11456 S Temple Dr. Suite 300   South Jordan UT 84095 United States of America  
										alignsolarprotection.com/home
									 
									3854465280 | alignsolarprotection.com/home
									 
									3854465280 | 11456 S Temple Dr. Suite 300   South Jordan UT 84095 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386340
Alleghany Services,http://www.solarpowerinternational.com/,,"alleghanyservices.com | Company Information 7342 Alleghany Rd   Basom NY 14013 United States of America  
										alleghanyservices.com | alleghanyservices.com | 7342 Alleghany Rd   Basom NY 14013 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386115
Alliance for Tribal Clean Energy,http://www.solarpowerinternational.com/,,"tribalcleanenergy.org | Company Information 1629 K Street, N.W. Suite 300  Washington DC 20006 United States of America  
										tribalcleanenergy.org | tribalcleanenergy.org | 1629 K Street, N.W. Suite 300  Washington DC 20006 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=9483240
"Alliant Consulting, Inc.",http://www.solarpowerinternational.com/,,"go-alliant.com/
									 
									619-831-0704 | Company Information 8185 Camino Santa Fe   San Diego CA 92121 United States of America  
										go-alliant.com/
									 
									619-831-0704 | go-alliant.com/
									 
									619-831-0704 | 8185 Camino Santa Fe   San Diego CA 92121 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8800509
Alpex Solar Ltd.,http://www.solarpowerinternational.com/,,"alpexsolar.com
									 
									+91 0120-2341146 | Company Information I26, Site 5, Surajpur Industrial Area Kasna  Greater Noida  201306 India  
										alpexsolar.com
									 
									+91 0120-2341146 | alpexsolar.com
									 
									+91 0120-2341146 | I26, Site 5, Surajpur Industrial Area Kasna  Greater Noida  201306 India",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=32410016
Alpha Environmental + Engineering,http://www.solarpowerinternational.com/,,"www.alphaenviron.com
									 
									828-392-2040 | Company Information PO Box 2155   Asheville NC 28802 United States of America  
										www.alphaenviron.com
									 
									828-392-2040 | www.alphaenviron.com
									 
									828-392-2040 | PO Box 2155   Asheville NC 28802 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386210
Alps Solar Energy Inc,http://www.solarpowerinternational.com/,,"www.dahaisolar.com | Company Information 1255 Treat Blvd, Suite 300   Walnut Creek  94597 United States of America  
										www.dahaisolar.com | www.dahaisolar.com | 1255 Treat Blvd, Suite 300   Walnut Creek  94597 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=32409876
APsystems,http://www.solarpowerinternational.com/,,"usa.apsystems.com/
									 
									844-279-8600
								 
									https://usa.apsystems.com | Company Information 8627 N. Mopac Expy Suite 150  Austin TX 78759 United States of America  
										usa.apsystems.com/
									 
									844-279-8600
								 
									https://usa.apsystems.com | usa.apsystems.com/
									 
									844-279-8600
								 
									https://usa.apsystems.com | Contact Us  Teddy Hodges Business Development Manager Mountain West  Business Development Manager Mountain West Teddy Hodges brings 15 years of renewable energy experience to his role as Business Development Manager for APsystems, where he covers the Mountain West, Northeast, and Mid-Atlantic regions. His background includes founding and running Redsun Solar and serving as COO of Solarwholesaler.com, giving him deep industry insight from both operational and leadership perspectives.At APsystems, Teddy focuses on developing strong customer relationships and growing the company’s presence in key territories across the U.S. His strengths include high-level organization, technical problem-solving, and a confident, approachable sales style. Over the past year, he has helped lead several successful initiatives, earning praise for his contributions and teamwork.Teddy is also the face of TEDDY Talks—a video series powered by APsystems—where he connects with the solar community through product tips, industry stories, and field experiences. He enjoys the authentic team dynamic at APsystems and appreciates the humor and support that fuel the company’s culture.Outside of work, Teddy’s passions include music and writing. He enjoys the process of achieving small wins that lead to larger accomplishments. On weekends, you might find him smoking meat—or during the holidays—bleaching his beard and putting on a big red suit for festive fun.  Read More       Jeff Blick Business Development Manager WestCoast and Upper Midwest  Business Development Manager WestCoast and Upper Midwest Jeff serves as the Business Development Manager for the West Coast and Upper Midwest regions at APsystems. With 19 years in the solar industry—including seven years in installation and project management—Jeff has built his reputation on technical expertise and strategic leadership. Prior to joining APsystems, he held key roles at Unbound Solar and other wholesale distributors.  At APsystems, Jeff supports distribution partners with training, sales alignment, and installer engagement across a wide territory including CA, OR, WA, MT, ID, KS, NE, IA, MN, ND, and SD. His efforts have directly led to expanding sales and deepening partner relationships throughout these regions. Known for his hands-on approach and ability to communicate complex technologies effectively, Jeff plays a vital role in driving growth across diverse market segments.Outside of work, he enjoys spending time outdoors with his family—a passion rooted in his 20 years as a river guide.  Read More       Mike Donnelly Business Development ManagerNortheast/ National C&I Director  Business Development ManagerNortheast/ National C&I Director With a career spanning more than two decades in the solar sector, Mike Donnelly serves as the National Sales Director C&I at APsystems USA. His professional background includes leadership roles at companies like Tabuchi Electric America, Con Edison Renewables, and Premier Power. At APsystems, Mike is instrumental in promoting 3-phase microinverter solutions nationwide, while also managing single-phase products in the Northeast and Midwest. Among his notable achievements are supporting megawatt-scale projects utilizing QT2 systems and contributing to installations at high-profile sites such as the Martin Federal Reserve Building and Tampa Electric Solar Carports. Mike's deep expertise with developers, EPCs, and manufacturers continues to drive APsystems’ success in commercial solar markets.  Read More       AM Boasten Business Development Manager Souteast  Business Development Manager Souteast Allenmichael “AM” Boasten serves as Business Development Manager for APsystems, overseeing the Southeast and Texas markets. With 10 years in the solar industry, he brings a well-rounded understanding of every aspect of the process—from sales and financing to manufacturing and distribution. Since joining APsystems a year and a half ago, AM has focused on building new business opportunities, expanding wallet share among partners, and nurturing strong relationships with installers and distributors. One of his proudest achievements has been strengthening APsystems’ relationships with key market players in his territory. AM thrives on the collaborative spirit of the company, valuing both the quality of its products and the dedication of its people. His approach blends technical insight with a relationship-driven mindset to ensure mutual growth. Outside of work, AM channels his curiosity into a passion for religious history, exploring the cultural and historical contexts that shape beliefs and traditions.  Read More       Josh Levinson VP of Sales  VP of Sales Josh Levinson is the VP of Sales at APsystems USA and a seasoned solar industry professional with two decades of experience. He began his renewable energy career as the North American Sales Director for Southwest Windpower and held key roles at Kaco, Delta, and Solectria before joining APsystems eight years ago. Josh oversees the entire APsystems sales organization, providing strategic direction, sales support, and leadership. He was instrumental in creating the company’s U.S. distribution channel, helping position APsystems as a top-tier manufacturer. Known for his strength in educative sales and team motivation, Josh thrives on sharing knowledge, solving problems, and empowering others. Outside of work, he’s an avid outdoorsman who enjoys river trips, camping, and time in nature.  Read More       Doug Hewitt US Country Director  US Country Director | Teddy Hodges Business Development Manager Mountain West  Business Development Manager Mountain West Teddy Hodges brings 15 years of renewable energy experience to his role as Business Development Manager for APsystems, where he covers the Mountain West, Northeast, and Mid-Atlantic regions. His background includes founding and running Redsun Solar and serving as COO of Solarwholesaler.com, giving him deep industry insight from both operational and leadership perspectives.At APsystems, Teddy focuses on developing strong customer relationships and growing the company’s presence in key territories across the U.S. His strengths include high-level organization, technical problem-solving, and a confident, approachable sales style. Over the past year, he has helped lead several successful initiatives, earning praise for his contributions and teamwork.Teddy is also the face of TEDDY Talks—a video series powered by APsystems—where he connects with the solar community through product tips, industry stories, and field experiences. He enjoys the authentic team dynamic at APsystems and appreciates the humor and support that fuel the company’s culture.Outside of work, Teddy’s passions include music and writing. He enjoys the process of achieving small wins that lead to larger accomplishments. On weekends, you might find him smoking meat—or during the holidays—bleaching his beard and putting on a big red suit for festive fun.  Read More | Jeff Blick Business Development Manager WestCoast and Upper Midwest  Business Development Manager WestCoast and Upper Midwest Jeff serves as the Business Development Manager for the West Coast and Upper Midwest regions at APsystems. With 19 years in the solar industry—including seven years in installation and project management—Jeff has built his reputation on technical expertise and strategic leadership. Prior to joining APsystems, he held key roles at Unbound Solar and other wholesale distributors.  At APsystems, Jeff supports distribution partners with training, sales alignment, and installer engagement across a wide territory including CA, OR, WA, MT, ID, KS, NE, IA, MN, ND, and SD. His efforts have directly led to expanding sales and deepening partner relationships throughout these regions. Known for his hands-on approach and ability to communicate complex technologies effectively, Jeff plays a vital role in driving growth across diverse market segments.Outside of work, he enjoys spending time outdoors with his family—a passion rooted in his 20 years as a river guide.  Read More | Mike Donnelly Business Development ManagerNortheast/ National C&I Director  Business Development ManagerNortheast/ National C&I Director With a career spanning more than two decades in the solar sector, Mike Donnelly serves as the National Sales Director C&I at APsystems USA. His professional background includes leadership roles at companies like Tabuchi Electric America, Con Edison Renewables, and Premier Power. At APsystems, Mike is instrumental in promoting 3-phase microinverter solutions nationwide, while also managing single-phase products in the Northeast and Midwest. Among his notable achievements are supporting megawatt-scale projects utilizing QT2 systems and contributing to installations at high-profile sites such as the Martin Federal Reserve Building and Tampa Electric Solar Carports. Mike's deep expertise with developers, EPCs, and manufacturers continues to drive APsystems’ success in commercial solar markets.  Read More | AM Boasten Business Development Manager Souteast  Business Development Manager Souteast Allenmichael “AM” Boasten serves as Business Development Manager for APsystems, overseeing the Southeast and Texas markets. With 10 years in the solar industry, he brings a well-rounded understanding of every aspect of the process—from sales and financing to manufacturing and distribution. Since joining APsystems a year and a half ago, AM has focused on building new business opportunities, expanding wallet share among partners, and nurturing strong relationships with installers and distributors. One of his proudest achievements has been strengthening APsystems’ relationships with key market players in his territory. AM thrives on the collaborative spirit of the company, valuing both the quality of its products and the dedication of its people. His approach blends technical insight with a relationship-driven mindset to ensure mutual growth. Outside of work, AM channels his curiosity into a passion for religious history, exploring the cultural and historical contexts that shape beliefs and traditions.  Read More | Josh Levinson VP of Sales  VP of Sales Josh Levinson is the VP of Sales at APsystems USA and a seasoned solar industry professional with two decades of experience. He began his renewable energy career as the North American Sales Director for Southwest Windpower and held key roles at Kaco, Delta, and Solectria before joining APsystems eight years ago. Josh oversees the entire APsystems sales organization, providing strategic direction, sales support, and leadership. He was instrumental in creating the company’s U.S. distribution channel, helping position APsystems as a top-tier manufacturer. Known for his strength in educative sales and team motivation, Josh thrives on sharing knowledge, solving problems, and empowering others. Outside of work, he’s an avid outdoorsman who enjoys river trips, camping, and time in nature.  Read More | Doug Hewitt US Country Director  US Country Director | 8627 N. Mopac Expy Suite 150  Austin TX 78759 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=3542
Built Robotics,http://www.solarpowerinternational.com/,,"www.builtrobotics.com/
									 
									‭14153437870‬ | Company Information 225 7th Street   San Francisco California 94103 United States of America  
										www.builtrobotics.com/
									 
									‭14153437870‬ | www.builtrobotics.com/
									 
									‭14153437870‬ | Contact Us  Paul Kelly VP of Business Development  VP of Business Development | Paul Kelly VP of Business Development  VP of Business Development | 225 7th Street   San Francisco California 94103 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=9482893
Carhartt Company Gear™,http://www.solarpowerinternational.com/,,"companygear.carhartt.com/why-carhartt.
									 
									512-788-0024 | Company Information 5750 Mercury Drive   Dearborn MI 48126 United States of America  
										companygear.carhartt.com/why-carhartt.
									 
									512-788-0024 | companygear.carhartt.com/why-carhartt.
									 
									512-788-0024 | Contact Us  Brian Bonin CCG BUS DEV REP III  CCG BUS DEV REP III For 135+ years, Carhartt has been trusted by trade professionals to take on the toughest jobs. But our durable, high-quality uniform solutions provide more than just protection. The right gear can help your business reduce replacement costs, elevate your brand image, boost morale and retain skilled workers. Which is why Carhartt Company Gear™ was designed from the ground up to outfit teams of 10 to 10,000+ with workwear that help crews and companies perform their best. Learn why Carhartt is more than a uniform, it's a business advantage at companygear.carhartt.com/why-carhartt.  Read More | Brian Bonin CCG BUS DEV REP III  CCG BUS DEV REP III For 135+ years, Carhartt has been trusted by trade professionals to take on the toughest jobs. But our durable, high-quality uniform solutions provide more than just protection. The right gear can help your business reduce replacement costs, elevate your brand image, boost morale and retain skilled workers. Which is why Carhartt Company Gear™ was designed from the ground up to outfit teams of 10 to 10,000+ with workwear that help crews and companies perform their best. Learn why Carhartt is more than a uniform, it's a business advantage at companygear.carhartt.com/why-carhartt.  Read More | 5750 Mercury Drive   Dearborn MI 48126 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8799897
"CHINA QUALITY CERTIFICATION CENTRE Co.,Ltd.",http://www.solarpowerinternational.com/,,"www.cqc.com.cn/www/english/
									 
									011 86 10 83886537
								 
									010-83886032 | Company Information SECTION 9,NO.188 THE SOUTH FOURTH RING WEST ROAD,BEIJING 100070,P.R.CHINA   BEIJING,CHINA  100070 China  
										www.cqc.com.cn/www/english/
									 
									011 86 10 83886537
								 
									010-83886032 | www.cqc.com.cn/www/english/
									 
									011 86 10 83886537
								 
									010-83886032 | Contact Us  Alex Consulting Engineer& Program Manager  Consulting Engineer& Program Manager          Wang zhigang General Manager  General Manager          William Yang Business Manager  Business Manager          Xinlei Liu President/Vice President  President/Vice President          zhang yuanxue International Certification Manager  International Certification Manager Master the certification trends in the global new energy sector, and focus on the new energy product certification business in the China region, including solar energy, energy storage, wind energy, biomass energy, etc. | Alex Consulting Engineer& Program Manager  Consulting Engineer& Program Manager | Wang zhigang General Manager  General Manager | William Yang Business Manager  Business Manager | Xinlei Liu President/Vice President  President/Vice President | zhang yuanxue International Certification Manager  International Certification Manager Master the certification trends in the global new energy sector, and focus on the new energy product certification business in the China region, including solar energy, energy storage, wind energy, biomass energy, etc. | SECTION 9,NO.188 THE SOUTH FOURTH RING WEST ROAD,BEIJING 100070,P.R.CHINA   BEIJING,CHINA  100070 China",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92385890
ComAp,http://www.solarpowerinternational.com/,,"www.comap-control.com
									 
									+1-815-636-2541 | Company Information 10 N Martingale Rd #400   Schaumburg IL 61073 United States of America  
										www.comap-control.com
									 
									+1-815-636-2541 | www.comap-control.com
									 
									+1-815-636-2541 | 10 N Martingale Rd #400   Schaumburg IL 61073 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8800065
Cyber Energia,http://www.solarpowerinternational.com/,,"cyberenergia.com
									 
									07850034500 | Company Information 8thfloor  245 Hammersmith Road  London  W6 8PW United Kingdom  
										cyberenergia.com
									 
									07850034500 | cyberenergia.com
									 
									07850034500 | Contact Us  James Collis Head of Operations  Head of Operations          Faye Eldridge Marketing  Marketing **About Me**My name is Faye, and I am from London. And I am a cybersecurity advocate. We have recently launched in the USA, supporting renewable energy producers, developers, operators, and data centres.We are hosting a complimentary roundtable dinner event on September 8th. Please get in touch with me for guest inquiries.         Rafael Narezzi Managing Director  Managing Director Rafael is the Managing Director of Cyber Energia and an OT cybersecurity expert with over 20 years of experience in global enterprises. He has transformed Cyber Energia into a leading managed service provider with clients that include FTSE 100 companies. As Group CTO at CFP Energy, he drove technological innovation, and as CIO at NextEnergy Capital, he enhanced asset management through machine learning and AI. Rafael founded the Cyber Security Summit in South America and serves as a guest lecturer and speaker internationally, aiming to strengthen cybersecurity in the renewable energy sector.  Read More       Richard Pfeifer Head of Sales  Head of Sales The future of energy must be clean and secure. At Cyber Energia, I lead U.S. sales in redefining OT cybersecurity for renewable energy and critical infrastructure. As cyber threats increase with renewable adoption, our SaaS and appliance solutions ensure resilience. Protecting the grid is vital for economies and communities. Let’s connect if you're working on the energy transition — we likely share the same mission. | James Collis Head of Operations  Head of Operations | Faye Eldridge Marketing  Marketing **About Me**My name is Faye, and I am from London. And I am a cybersecurity advocate. We have recently launched in the USA, supporting renewable energy producers, developers, operators, and data centres.We are hosting a complimentary roundtable dinner event on September 8th. Please get in touch with me for guest inquiries. | Rafael Narezzi Managing Director  Managing Director Rafael is the Managing Director of Cyber Energia and an OT cybersecurity expert with over 20 years of experience in global enterprises. He has transformed Cyber Energia into a leading managed service provider with clients that include FTSE 100 companies. As Group CTO at CFP Energy, he drove technological innovation, and as CIO at NextEnergy Capital, he enhanced asset management through machine learning and AI. Rafael founded the Cyber Security Summit in South America and serves as a guest lecturer and speaker internationally, aiming to strengthen cybersecurity in the renewable energy sector.  Read More | Richard Pfeifer Head of Sales  Head of Sales The future of energy must be clean and secure. At Cyber Energia, I lead U.S. sales in redefining OT cybersecurity for renewable energy and critical infrastructure. As cyber threats increase with renewable adoption, our SaaS and appliance solutions ensure resilience. Protecting the grid is vital for economies and communities. Let’s connect if you're working on the energy transition — we likely share the same mission. | 8thfloor  245 Hammersmith Road  London  W6 8PW United Kingdom",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92386142
EG4 Electronics,http://www.solarpowerinternational.com/,,"EG4electronics.com
									 
									9034406589 | Company Information 1130 Como Street S.   Sulphur Springs TEXAS 75482 United States of America  
										EG4electronics.com
									 
									9034406589 | EG4electronics.com
									 
									9034406589 | Contact Us  Joel Openshaw Technical Sales Manager  Technical Sales Manager          Sean Hickey Regional Sales Specialist  Regional Sales Specialist          Kyle Moss Regional Sales Representative  Regional Sales Representative          Anthony Dawood Regional Sales Representative  Regional Sales Representative          Shellie Thies Regional Sales Specialist  Regional Sales Specialist          Grayson Wing Regional Distribution Manager  Regional Distribution Manager | Joel Openshaw Technical Sales Manager  Technical Sales Manager | Sean Hickey Regional Sales Specialist  Regional Sales Specialist | Kyle Moss Regional Sales Representative  Regional Sales Representative | Anthony Dawood Regional Sales Representative  Regional Sales Representative | Shellie Thies Regional Sales Specialist  Regional Sales Specialist | Grayson Wing Regional Distribution Manager  Regional Distribution Manager | 1130 Como Street S.   Sulphur Springs TEXAS 75482 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=32409730
"Electrical Consultants, Inc.",http://www.solarpowerinternational.com/,,"www.eciusa.com
									 
									406-259-9933
								 
									406-259-3441 | Company Information 3521 Gabel Road   Billings MT 59102 United States of America  
										www.eciusa.com
									 
									406-259-9933
								 
									406-259-3441 | www.eciusa.com
									 
									406-259-9933
								 
									406-259-3441 | 3521 Gabel Road   Billings MT 59102 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1007
"EVS, Inc.",http://www.solarpowerinternational.com/,,"evs-eng.com/
									 
									(952) 646-0236 | Company Information 10025 Valley View Rd Suite 140   Eden Prairie MN 55344 United States of America  
										evs-eng.com/
									 
									(952) 646-0236 | evs-eng.com/
									 
									(952) 646-0236 | Contact Us  Rob Kack, PE, LEED AP BD+C Senior Director - Civil, Structural, Geotech, Survey  Senior Director - Civil, Structural, Geotech, Survey 28 Years ExperienceRob Kack brings extensive experience in land development for military agencies, with valuable experience with USACE, DoD, and government standards translating well in support of solar developments. As Engineer of Record for 2+ GW of utility-scale and distributed generation solar, Rob’s expertise in grading, drainage, and erosion control has expedited permitting and improved project constructability.  Read More       Aaron Carrillo Director of Solar PV & Battery Storage  Director of Solar PV & Battery Storage 10 Years ExperienceAaron Carrillo began his career at Tesla, managing teams of 60+ designers and team leads to deploy thousands of solar projects nationwide. Transitioning to utility-scale solar in 2018, he managed over 1 GW of PV and 400+ MWh of BESS. Now as Director, Aaron oversees a growing team and a pipeline exceeding 1+ GW of solar and 1+ GWh of BESS, leveraging his technical and leadership expertise to tackle complex client challenges.  Read More       Lee O'Neal Director of Substation  Director of Substation 36 Years ExperienceLee O’Neal is the Director of Substation with over 35 years of experience in leading utility operations, construction, design and maintenance teams in both power generation and distribution. Lee possess the skills required for the creation, development and implementation of business strategies while building teams and relationships. Lee has experienced with solving complex problems, change management and continuous improvement.  Read More       Michael Carlson, PE Senior Director of Electrical Engineering  Senior Director of Electrical Engineering 21 Years Experience, including 50+ Solar and 12+ BESS ProjectsMichael Carlson has designed and managed the power study engineering for over 750 MW of solar projects including residential, commercial (rooftop and ground mount), Community Solar Garden (CSG), and utility scale projects. Michael also designed and managed the engineering for multiple distribution projects, transmission projects, substation projects, and over 2 GW of collection and studies work for wind installations.  Read More       Andy Kim President  President Andy Kim is the President of EVS. Over the past 20 years at EVS, Andy has served in a wide variety of roles including project management, marketing, business development, and I/T support. Andy’s vision is to create a workplace that’s the “Google of engineering firms” by creating an incredible culture for employees while setting the bar for client service. Andy firmly believes that respect, humility, and integrity arethe core values that will continue to drive EVS for years to come.  Read More       Sohan Das Vice President of Renewable Energy  Vice President of Renewable Energy 16 Years Solar Experience, including 200+ Solar and 15+ BESS ProjectsSohan Das is a seasoned solar energy veteran with extensive experience in utility-scale solar and storage projects across the U.S. working with different developers, utilities, and EPC contractors. His team includes NABCEP-certified PV engineers and medium/high-voltage engineers with expertise in solar, wind, and substation design, having completed over 20 GW of solar projects nationwide. At EVS, Sohan leads efforts in client management, team growth, employee training, and quality controlwhile expanding into new markets like transmission.  Read More | Rob Kack, PE, LEED AP BD+C Senior Director - Civil, Structural, Geotech, Survey  Senior Director - Civil, Structural, Geotech, Survey 28 Years ExperienceRob Kack brings extensive experience in land development for military agencies, with valuable experience with USACE, DoD, and government standards translating well in support of solar developments. As Engineer of Record for 2+ GW of utility-scale and distributed generation solar, Rob’s expertise in grading, drainage, and erosion control has expedited permitting and improved project constructability.  Read More | Aaron Carrillo Director of Solar PV & Battery Storage  Director of Solar PV & Battery Storage 10 Years ExperienceAaron Carrillo began his career at Tesla, managing teams of 60+ designers and team leads to deploy thousands of solar projects nationwide. Transitioning to utility-scale solar in 2018, he managed over 1 GW of PV and 400+ MWh of BESS. Now as Director, Aaron oversees a growing team and a pipeline exceeding 1+ GW of solar and 1+ GWh of BESS, leveraging his technical and leadership expertise to tackle complex client challenges.  Read More | Lee O'Neal Director of Substation  Director of Substation 36 Years ExperienceLee O’Neal is the Director of Substation with over 35 years of experience in leading utility operations, construction, design and maintenance teams in both power generation and distribution. Lee possess the skills required for the creation, development and implementation of business strategies while building teams and relationships. Lee has experienced with solving complex problems, change management and continuous improvement.  Read More | Michael Carlson, PE Senior Director of Electrical Engineering  Senior Director of Electrical Engineering 21 Years Experience, including 50+ Solar and 12+ BESS ProjectsMichael Carlson has designed and managed the power study engineering for over 750 MW of solar projects including residential, commercial (rooftop and ground mount), Community Solar Garden (CSG), and utility scale projects. Michael also designed and managed the engineering for multiple distribution projects, transmission projects, substation projects, and over 2 GW of collection and studies work for wind installations.  Read More | Andy Kim President  President Andy Kim is the President of EVS. Over the past 20 years at EVS, Andy has served in a wide variety of roles including project management, marketing, business development, and I/T support. Andy’s vision is to create a workplace that’s the “Google of engineering firms” by creating an incredible culture for employees while setting the bar for client service. Andy firmly believes that respect, humility, and integrity arethe core values that will continue to drive EVS for years to come.  Read More | Sohan Das Vice President of Renewable Energy  Vice President of Renewable Energy 16 Years Solar Experience, including 200+ Solar and 15+ BESS ProjectsSohan Das is a seasoned solar energy veteran with extensive experience in utility-scale solar and storage projects across the U.S. working with different developers, utilities, and EPC contractors. His team includes NABCEP-certified PV engineers and medium/high-voltage engineers with expertise in solar, wind, and substation design, having completed over 20 GW of solar projects nationwide. At EVS, Sohan leads efforts in client management, team growth, employee training, and quality controlwhile expanding into new markets like transmission.  Read More | 10025 Valley View Rd Suite 140   Eden Prairie MN 55344 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=92385846
Fluke Corporation,http://www.solarpowerinternational.com/,,"www.fluke.com
									 
									1 (800) 443-5853 | Company Information 6920 Seaway Blvd   Everett WA 98203 United States of America  
										www.fluke.com
									 
									1 (800) 443-5853 | www.fluke.com
									 
									1 (800) 443-5853 | 6920 Seaway Blvd   Everett WA 98203 United States of America",https://re25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8799711
